"id","place_id","name","description"
"1","3","استرداد مفقودات","في حاله تم فقد شيء منك يمكنك استرداده"
"2","3","ابلاغ عن مشاحنات","في حاله تم مشاحنه بينك وبين شخص ما يمكنك الابلاغ عنها	
"
"3","5","تقديم الشكاوي والطلبات والمقترحات","في حاله وجود شكوي او انك تريد تقديم طلب ما او اقتراح جديد يمكنك المشاركة به"
"4","4","اعتماد كل ما يخض شئون الدراسات العليا","اعتماد ما يخص الدراسات العليا من ابحاث و دكتوراة و ماجستير و دبلوم مهني"
"5","4","خدمات الكلية للبيئة وشئون المجتمع","ما يخص خدمات الكلية للبيئة المحيطة وشئون المجتمع والاشراف علي مركز الاستشارات"
"6","11","استرداد مصروفات تم دفعها بالغلط","في حاله حدوث خطأ اثناء دفع المصاريف"
"7","11","ادراج مكافأة التميز","كل ما يخص المعاملات المالية من مرتبات ومكافئات والتعاملات المالية للطلاب"
"8","12","طلب اجازة مرضيه او تأجيل للامتحانات","في حاله انك تريد طلب اجازة مرضيه او تأجيل موعد امتحانك"
"9","12","اعتماد ملفات التقدم للكليات العسكرية وحسن السير والسلوك","في حاله اذا كنت تريد اعتماد ملفات التقديم للكليات العسكرية وحسن السير والسلوك"
"10","12","شئون الفرقة الاولي","في حاله انك تريد المسئول عن شئون الفرقة الأولي	
"
"11","12","شئون الفرقة الثانية","في حاله انك تريد المسئول عن شئون الفرقة الثانية"
"12","12","شئون الفرقة الثالثة","في حاله انك تريد المسئول عن شئون الفرقة الثالثة"
"13","12","شئون الفرقة الرابعة","في حاله انك تريد المسئول عن شئون الفرقة الرابعة"
"14","12","طلبات التحويلات","في حاله اذا كنت تريد التحويل من كليه الي اخري	
"
"15","12","الحصول علي بيان النجاح","في حاله انك تريد الحصول علي بيان نجاحك"
"16","12","الحصول علي بيان حاله الطالب","في حاله انك تريد الحصول علي بيان الحالة الخاص بك "
"17","12","تصريح سفر للطالب اثناء الدراسة","في حاله ان الطالب يريد السفر للخارج اثناء فترة الدراسة"
"18","16","مواعيد امتحانات الدراسات العليا والمحاضرات","كل ما يخض الدراسات العليا من (دكتوراة وماجستير ودبلوم) مهني من مواعيد امتحانات وجداول ومحاضرات"
"19","17","استخراج الشهادات الخاصة بالموظفين","استخراج كافه الشهادات الخاصة بالموظفين"
"20","14","اعتماد كافه المكاتبات الخاصة بالكلية","اعتماد كافه المكاتبات الخاصة بالكلية وحل المشكلات الإدارية و حل مشكلات المرافق للطلاب	
"
"21","30","قراءة المراجع العلمية"," في حاله انك تريد الاطلاع علي المرجع العلمية العربية والانجليزية وتصويرها"
"22","30","مشاريع تخرج الطلاب","في حاله انك تريد الاطلاع علي مشاريع تخرج طلاب الكلية"
"23","30","الابحاث والرسائل العلمية ","في حاله انك تريد الاطلاع علي الابحاث والرسائل العلمية بالكلية"
"24","22","الجداول الدراسية","كل ما يخص الجداول الدراسية وقاعات المحاضرات والسكاشن والقائمين عليها	
"
"25","26","الأنشطة الطلابية","كل ما يخص الأنشطة الطلابية من مجالات ثقافيه واجتماعيه و فنيه و ورياضيه وجواله واسر علميه ومسرح"
"26","30","الاستعارة للكتب والمراجع العلمية","خدمة استعارة الكتب والمواد المكتبية للطلاب وأعضاء هيئة التدريس والباحثين لاستخدامها لفترة محددة"
"27","26","صندوق التكافل الاجتماع","ابحاث اجتماعيه و صندوق التكافل الاجتماعي"
